Review ,Rating
"Staycationed here with my partner. I visited the executive lounge - it had a great ambience and got to know Chef Nino who was friendly and made delicious food. Nice view of the pool. We dropped by Cool Cats too, a nice jazz joint at the back of the hotel. We also went to the spa to check it out and explored the facilities - there was a steam room, sauna, and my fave - jacuzzi with perfect temperature. I loved the space, it was a calm and serene place. A staff member named Sherry showed us around and let us try the zero gravity chair which was very cool. She was very friendly and professional and shared with us the treatments on offer which we will definitely try next time! The bed was comfortable and we had a great night's sleep. Really good service all round, worth visiting",5
"The JW Marriott South Beach delivers everything you would expect from the JW Marriott brand. The hotel and grounds are immaculately maintained, the staff are friendly and attentive, the facilities are quite good and the views are wonderful.   The hotel is conveniently located atop the Esplanade MRT stop. There are multiple restaurants and bars in the same block both in the main building and a heritage building on the property. You can cross the street to Suntec mall for shopping and dining or walk a block to Raffles City or restauarants near Bugis.  You can easy access the Esplanade theatre and offices in the CBD with a 15 minute walk or 10 minute ride.   Rooms at the hotel are comfortably sized and offer various unobstructed views of the city. They have Nespresso machines for",5
"My family and I stayed at this lovely hotel mid March and I would highly recommend it. The JW doesn't disappoint in it's cleanliness, service, food and staff. This hotel is very centrally located and a short 2 minute walk to the MRT. The Beach Road Kitchen offered a phenomenal breakfast with many choices. We were welcomed every morning with a bright smile from Lim Pei and they remembered our drink orders.. Chef Charles and his staff (including Gaba) treated us like royalty and was prepared to make each meal delightful. Breakfast became a smorgasbord of flavors and dishes. The Club Lounge had excellent snacks (drinks) and Lionel did his best to accommodate our needs. The gym is on the 18th floor with great views and always stocked with water and cold towels. The front desk staff",5
"I had my first hotel spa in my life and it was excellent. Firstly, I got to use their spa facility which were refreshing. Shaa who welcomed me at the reception was warm and friendly. She explained to me what the uses of the steam room and sauna were since I am not used to all of this and she was detailed and knowledgeable. They helped to lessen the muscle tightness that I had and I felt so much lighter. Later on I had a 1.5 hour massage done by Mandy, which I immediately fell asleep during the massage. I guess the aroma oil that she chose for me played a part and I could tell that she was skilled and experienced. Mandy was nice to let me  rest for awhile as I was too relaxed sleepy. Eventhough I did a free massage, they stilI treated me very well and professionally which I",5
"I booked a couple's spa with 60 min massage for my fiance's birthday. We were greeted by a cheerful and friendly Azizah, who patiently explained all the different aromas for us to use for the massage. We were also served a delightfully sweet and well balanced ginger tea. My therapist was Mandy, whom I highly recommend. Her technique was firm and strong yet relaxing, slowly kneading out all the pressure knots in the neck and shoulders. She was also very accommodating to my requests to repeat some motions for target areas. The room was very cosy and had a secluded feel, with en suite shower and bathroom. After the full body massage we were treated to the relaxation lounge that was quiet and serene for another cup of ginger tea (and a selection of other teas, if you so desire).",5
"JW Marriott took every precaution in the book to make sure we were safe, and well taken care of. They were extremely sweet to handwrite cards wishing me a happy birthday, and the Spa by JW was absolutely relaxing and refreshing. Therapists Hatmah and Mandy need to be specially commended, since they customised treatments for my fiancee and me. Azizah and Shah at the reception were also extremely knowledgeable and professional, best I've seen in any spa.   Glad that we were able to unwind safely despite the situation. Thanks to JW Marriott for keeping us safe and comfortable.",5
"Was pleasantly surprised by the warm and personalised hospitality provided by the hotel. Would like to thank Kendy, Lisa and Sherrine for the lovely touch for the room decoration from the drawing to the balloons and cake!   It made the occasion even more special it memorable. The effort provided by the staff with the easy check-in and express check out made the stay pleasant.   The room was spacious and clean. The amenities provided were of high-quality and sufficient throughout the stay.",5
"Came here for a night to celebrate my friend’s birthday, was pleasantly surprised with our photos (supplied by us to the hotel via email) taped to balloons, as well as a prettily decorated bathroom mirror door, and special treats!! It was extremely welcoming, huge thank you to Sherrie, Lisa and Kendy for the wonderful decorations and the handwritten card. Views were fantastic, staff were extremely hospitable and acceded to our requests for items, and we really enjoyed the place and people. Not the mention a pleasant and easy check-out at the end of our whole stay by Eden! Thank you JW Marriott! ",5
"Overall great service, but silly rules for the executive lounge - they didn’t allow guests wearing tank tops to enter, but allowed guests wearing shorts, crop tops and sandals. Doesn’t seem to make sense and can’t understand the rationale. Nevertheless special shout out to Lionel the trainee sous Chef who was very friendly and provided great service!",4
"I stayed 1 night at JW Marriott South Beach from 29 March to 30 March. Last stay was on 1 July 2017. Both are for short getaway staycations to celebrate special occasions.   What I like:  -Club lounge at level 2. Spacious layout and comfortable setting. Good spread of food and wide choice of beverages. -The ever presence of Eva Abdullah (since first stay) and the lovely team under her charge. The lads at the club lounge were very cheerful, helpful and proactive. They have a strong sense of purpose and are constantly looking out for emptied plates or mingling with the guests. Remembers you by the last name as well.  -Instagram worthy level 18 recreation area (houses the gym, pool and snack bar) which offers a 360 degree view of the city. From the CBD, to the marina promenade and",5
"Me and my girlfriend decided to have a staycation at JW Marriott for one night and we had access to the exec lounge. We were there from 2:30 onwards and did not leave the place until it closed. We were given a wonderful service by Melvin, Fussaf, and Chef Lionel, another the filipino head chef and all the other staff that were working there. They were all warm and welcoming. Thank you all for the wonderful experience.",5
"Chef Niño not only makes delicious food, but amazing conversation. what a treat this was. thank you for a lovely evening!!!! I throughly enjoyed the risotto and especially the dessert. and dinner with a view!",5
"Finishing our one week staycation at this hotel, in fact it's our second stay here in two weeks.   Totally love this place, it just like a safe sanctuary to us during this period of time. Tight safety measures are taken for the Covid-19. Temperature taking at the main entrance and hand sanitizers are seen at almost every corner in the premises.  As Ambassador Elite Guests, we have spent most our time at the Executive Lounge. Good atmosphere and environment for both business and leisure, with good people and good food.  We have met many hospitable hotel staffs throughout our stay here. However there is a particular one that we are most impressed with and we think we should mention his name here to encourage him to keep up his good work and keep on shining. Although he is just a",5
"We really enjoyed our one night stay at J W Marriott. It is a sprawling resort with a wide range of top class facilities.  Special mention to Lionel, the intern chef at the level 2 lounge. Dinner was delicious, and the spread of food was great!",5
"This is my 2nd time staying with JW Marriott South Beach within 3 months. I was here last weekend for my birthday celebration. While both stays' experience was good, I must say this 2nd stay was much better, perhaps, as it is the off-peak season for hotel industry here.   Perhaps due to the lesser number of guests, staffs are much more polite and obliging, although on both occasions, they were always professional in their interactions.  We had better interactions with staff this time as they showed personal care and concern, asking us how are we doing and chatting about the Covid19 situation. Because of the time and space to have such personal interactions, we felt more at home this staycation.   The chef on internship at Executive Lounge, Lionel, is a fine young chap, who was",5
"My wife and I decided to celebrate our 7th wedding anniversary with a weekend staycay and were really impressed!   The hotel is stylish and gorgeously decorated, in both the lobby / public areas and in the rooms. Location is great - connected via walkway to MRT and several malls in central Singapore. We had lunch in Akira Back and dinner at Madame Fan: Both excellent restaurants. Buffet breakfast in Beach Road Kitchen was somewhat underwhelming in comparison.  A special shoutout to Troy and the reservations team for the effort in preparing the best personalized room decoration that I've ever had in any hotel I've been to, which really set a great first impression for the whole stay.  Overall a very enjoyable stay and we'll be back soon!",5
" We had the most magical time at JW marriott Singapore. It was so hard to say goodbye. The staff made it so memorable for us. As soon as we entered the lobby Wayne greeted us, Sara the bell caption was always answering my questions, Patricia from the front desk gave me great recommendations and Luna the manager was also very accommodating.  The restaurant staff was also my fav. They talked to us everyday like family. Checking to see if we were comfortable or if we needed anything. Ali made sure our breakfast was always perfect. He even helped me pack a to-go bag our last day. Raymond was such a friendly morning greeter as well. He always has a huge smile on his face. Melvin was a great host when we had hors . Chef Arjun always brought my son his favorite fruit jambu. Even if",5
"We had a great massage at Spa by JW with our masseuse Carmen and Hatmah. Big spa and looks so luxurious. They have a steam room, sauna and jacuzzi as well which you can use complimentary if you have treatments with them. However their jacuzzi was not working at that point of time when we came. The receptionist Shaa apologised and allowed us to come back at any time to enjoy the spa facilities so no issues with that! Great service overall!",5
"I visited the Spa at JW Marriott for the third/fourth on 18th March and was treated to the best massage yet by Therapist Hatmah. Her pressure was perfect right from the start and it was relaxing throughout the session!  I also want to commend on your spa receptionist Shakinah (i hope i spelled her name right if not i'm sorry!) for her impeccable hospitality, professionalism and product knowledge. She is always so welcoming and warm! She takes time to ask me about work and gets to know me better, something i find that is lacking in the service industry these days. Shakinah's essential oil recommendations have always hit the spot so far. Kudos to the rest of the team too! ",5
"We had recently gone back to Singapore for several days and stayed at the JW Marriott South Beach for the first time. Absolutely beautiful hotel, great accommodation and central location. All staff interactions were always very attentive and  friendly. We wanted for nothing and nothing was too much trouble. Excellent customer service was provided throughout the Hotel; from the Front Desk staff,  Concierge, Housekeeping and Restaurant staff. Our favourite place to relax after a day out and about in Singapore was the Tonic Bar where we met the very professional and  friendly Khosi. Her very broad knowledge on all things Gin is very interesting and amazing. We would highly recommend this hotel. Thank you JWM we will be back.",5
My friends and I stayed at the executive suite and really enjoyed our time at the executive lounge. The room was spacious and comfortable and the service is impeccable! Can't wait for my next stay here!,5
"I had a very nice stay.  I was upgraded to a very spacious corner suite with great views.  Bed was comfortable. Spacious bathroom, great views from tub and toilet.  The executive lounge staff was very professional. Lots of drink and hot food options. The infinity pool was great, although very cold.  Gym had new machines and multiple equipment. Breakfast was delicious, multiple stations with all kinds of food. It was very busy.  Location is great, close to MRT and Suntec, parks, marina, Raffles hotel, everywhere. Overall had an Excellent stay. The facilities were great, and staff was also very well trained, professional.",5
"Had a delightful, relaxing time tonight at the Executive lounge. Special thanks to Lionel - we loved the food and enjoyed the special Singaporean treats you made. The  Old Fashion was also top notch. Best of luck in your chef career!",5
"I simply love the executive lounge. A good place to chill and relax. I would like to express my thanks to Bella, Rose, Nur, Jacquelyn, Melvin and the Chef, Lionel for a wonderful service.The staff in The Beach Road Kitchen, helmed by Hyacinth, we’re also wonder. I love the spread served during breakfast.",5
Had great service at the Executive Lounge during our weekend staycation. Great selection of drinks and food. Service staff (including chef Lionel) was very friendly and attentive to our needs. Coffee at the lounge could be better though.,5
"My suite wasn't ready when i checked in, but the front desk executive Wai Ying was most apologetic and invited me to the lounge for afternoon tea, and later delivered the key cards to me at the lounge. She also took the initiative to compensate me with a late checkout.   The suite was very spacious and had a beautiful, sleek and modern design, with a breathtaking view of the marina bay. The bed was supremely comfortable. The only bugbears were a  lingering, slightly pungent smell (perhaps due to strong disinfectants used against COVID-19) and the weak air-conditioning in the bedroom (set it to 19 degrees, max fan speed, and it was still warmer than the living room which was set at 22 degrees).  It was a happy coincidence to see Wai Ying at the front desk again the next day when",5
"I visited the executive lounge and was served by Lionel. He was attentive and made sure that we were comfortable. He was thoughtful throughout and made sure we were well taken care of. Towards the closing of the lounge, he even made sure we had enough drinks to go. Thank you for the memorable service, Lionel!",5
"Beautiful hotel with excellence - repeated by me. Stayed here 6-8 March. Nice comfy room, suite room facing Suntec - comfy bed and amenities. Great service as usual from the lounge from Lionel, Melvin, rose and team. Breakfast? Go for the nasi lemak - very authentic !",5
"I was at the executive lounge with a business acquaintance for catching up. Good selection of quality foods.   Lionel served us and was especially good, and attentive .  It felt like we were VIP in a fine dining restaurant.",5
"Pool view from the 18th floor. Spectacular !! Such a great stay so relaxing “great spa”. Food was fabulous, with a delish brunch. Could not have picked a better hotel or city for our much needed vacation.",5
"Loved it!  Beautiful, modern and hip design.  Very clean and well maintained hotel.  All employees were exceptionally friendly and very attentive.  Our room was very comfortable and well designed.    Located across the street from the Raffels Hotel and a 15 minute walk to MBS.  Located directly above the Esplanade MRT station.  Convenient to everything.  2 pools.  One located on the 18th floor of the west tower.  This pool is unheated and gets no sun whatsoever.  No lounge chairs.  This pool is about looks, not function.  The second pool is located on the 6th floor of the east tower.  This pool is also unheated, but gets more sun.  It’s partially covered by an overhang.  A few lounge chairs and more traditional seating.  The spa has a steam room, sauna, and jacuzzi— free for",5
"We stayed at this hotel to celebrate our 12th wedding anniversary and were very satisfied with all the services &amp; surprising wall graffiti in our room.   There are lots of shopping malls, cafes &amp; restaurants around it so you can easily lose track of the time. And besides, they provide various menus at the breakfast buffet restaurant. I love their pretzel bread with French butter on it. ",5
"We got upgraded to a suite during check-in, celebrating a hens' night and staff helped to decorate the room.  The suite was huge and very spacious.   We requested for more bathroom slippers as there were 4 of us, but service staff came back and passed us a whole bag of toiletries enough for more than 4 pax, and we ended up bringing them home.   Thank you so much!",5
"I’m not one to easily fall asleep during a massage, particularly a leg massage, but the heated massage bed and comfortable bedding made it very easy to zen out. My therapist Hatmah is incredibly skilled and my feet feel rejuvenated even after just a mere 45 minutes.  So, if you want comfort and luxury with a solid massage thrown in, you can’t go wrong with visiting Spa by JW.",5
"I had the most pampering experience by my masseuse, Mandy. I had the 50-min Aching Legs massage and I managed to fall asleep despite the pain due to water retention in my calves. The room was spacious and did not make me feel claustrophobic and the heating mattress made the experience so much more comfortable. I will definitely come back again and make use of the facilities!",5
"We used our Marriot Vacation Club points to book for a 1 night stay at this hotel. For this stay we used 700 club points to secure a Quality Room. We likewise requested an early check in which was easily approved.  We had been away from Singapore for ten years and I had no recollection of a JW Marriot hotel in Singapore. I was informed that the hotel opened under the new Marriot management in early 2016 which was just 3 years ago.  The hotel is quite a landmark in the South Beach area because it is just beside Suntec City and Raffles hotel and is surrounded by all the shopping and restaurant  facilities in Marina Bay. In fact the 20th floor room which was given to us directly  overlooks the rooftop of Suntec City with a view of the Marina Bay Sands hotel, the Esplanade and the",4
"I booked a night at this fairly new hotel in Singapore.  Fairly pricey as well.  The entrance was impressive.  Service was detailed and friendly.  No issues there.   The room was however small and looked so minimalist white that if felt like an hospital room.   The  Japanese toilet that tries to clean you all the time was more annoying than satisfying.   The semi-roof top pool was not sexy at all.  Old PRC auntie swimming in. Water all over.  Dark. No music.  No beat.  Total was of time.  I decided to try the bars and restaurants.  Virtually none of the F&amp;B places are in the hotel (one tiny very unimpressive un -JW Marriott bar (Tonic) on the GF level near the lifts).  I was directed to ""take the lift, go up one floor, take the bridge, go left, go down, go out, go right and you",2
"The place is outstanding! Great accommodations to my family needs. The room and the pool was all very clean. A very special thanks to Martin for meeting my family needs. The view from the room was very breath taking! Rooms are high tech, service was very quick and easy. In overall the hotel is very high end.",5
"Spent 2 nights over at JW Marriot for my 21st birthday. Ambience is amazing, room was cosy and quality service from the crew (Shoutout to Sara and Wayne) who made my stay a pleasant and unforgettable one. Definitely will recommend to my friends!",5
I think that it is the latest Marriott property in Singapore. And it fits up to the standard as I wish from a JW brand hotel. As the Marriott Tang Plaza is a bit outdated I would recommend this one as my new Marriott default hotel in Singapore. A bit stylish in design and has everything you need.   Location is in the Suntec area so close by to everything.   A bit of downside is the pool that seems to be a bit small. But I didn't have time for swimming anyway. But if you are for looking for relaxing in the pool I would recommend that you look for other hotels.,5
"First the positives...it is in a great location, the staff was wonderful, and it has a lounge and breakfast restaraunt that might be the best I’ve seen.    That said, I felt the hotel feel short in several key ways, vs. other alternatives I know of and have stayed in when visiting Singapore.  The hotel is ‘styled to the max,’ but in the process, the public areas are not really terribly comfortable.  The gym is substandard for a hotel of this price/class, and the rooftop pool area is very chopped up, the pool small.  My biggest concern here is the room itself.  Many issues with the design and appointment.  It seems sterile, the bathroom complex had so many design issues it was hard to list them (lack of storage, lack of outlet, difficult to navigate, etc.).  No coffee maker,",3
"We had such a pleasant stay. The hotel superb location is situated right in the city center, with many nice malls, restaurants, and bars. As well as the walkable distance to many sights of Singapore(for tourists). The very modern chic rooms are the best! Very spacious, clean, comfortable and of course it's gorgeous view, especially at the pool too! XD We were served food in our room by Ramesh, I must mention, a very helpful and polite man, we were impressed by how he took the time to explain everything, made sure we got all that we need and most importantly to have the best experience here @ JW, a well-personalized service. =) Well done! Can't wait for another staycation here!",5
"I was sold to the rooms of the swisshotel but trying the JW has been the best thing I could have done. The personnel is beating all previous service experiences I had. The exec lounge is great but on the low floor level (2). This is a little drawback from the 70th floor view of the Swiss. However, the JW Marriott exec lounge has a better suited in my opinion, bar area with giant screen conducive to great conversation. The swimming pool is just awesome at the 18th floor wit a breath taking view of Marina Bay and downtown SG. A little drawback is in the bathrooms. I tried 3 different room models and none had an electrical outlet in the bathroom. There is no 110V in the room altogether but te concierge quickly solved this issue by providing me with a converter. Mirrors are not an",5
After a very desappointing stay at St Regis Singapore i went luckuly to this quite new hotel near Marina in Singapore congrats !  the design of Ph Starck is quite fun and impressive and the suites are nice sleek and great to enjoy few days 2 pools and fun amazing FISH bar  dont forget to visit the lounge and meet the very efficient Hazel there....smiling and professional girl and WOW for the breakfast at the restaurant in the morning the choice is incredible !! merci for this second stay and see you soon,4
"The JW on Beach Road was a fantastic stay, especially for a long business stay.   The service in the Lounge was fantastic, Chef John, Olive and the bar staff became almost friends in the couple weeks that I stayed at the JW.   They made a long business trip not only bearable, but fun.   They were always happy to talk, help with anything and suggest things to do over the weekend.  Such as a great hike in MacRitchie Resevoir park. Staff at the JW Marriott make it a reason to return again.",5
"Very impressive experience right from getting down from the car with the welcoming reception by its lobby ambassador; Lisa.  Although my sleep were disturbed by loud shouting noise from the adjacent room in the middle of the night, the hotel staff were very apologetic on it upon my check out although it was not their fault. Vivien Lee at front desk even offered to waive my breakfast which was a nice gesture.  All in all, great staff.",5
"We stayed at the JW Marriott Hotel for 5 nights and couldn't have been more thrilled with our stay.  Everyone was incredibly helpful and friendly.  The concierge also earned points for their spot on advice (using the metro system, getting reservations at restaurants, etc).  The bed was one of the most comfortable I've slept on.  Very sorry to have to leave its ambience and hope to return.",5
"I like the brand - this is why I’m Lifetime Platinum and then they gave me an Ambassador status. I like the hotel - this is why I came back for the fourth or fifth time within 12 months. I like #Singapore - this is why I extended my 6 nights stay for another couple of days. What I don’t like, though, is to be treated as a fool. You guys had me for 630 ++ in a suite and when I extended, you had the audacity to ask for almost 250 more. Seriously? Have you been at capacity? Was there a huge conference? Was it that Singapore was sold out? NO!!! The whole hospitality industry is bleeding and for another 2-3 months there will be no stopping because of the hype around this freaking virus. And how do you react to loyalty and the rare guests who extend? You screw them! Yes, there is no",3
"We had such good service here. The room was clean and pretty, the people at the hotel were so attentive. Hazel in the executive lounge was especially fabulous. I felt like she was always aware of us and anything we might want or need, and she was very engaging and friendly. She definitely made our experience even more special.",5
"when possible i always try and stay in a marriott hotel i have found that usually they are in the best locations and always have a steady standard service. the JW was no different the staff were friendly room was great, location was EXCELLENT i found no faults to be honest.. i will certainly stay again",5
"Stayed one night to celebrate wedding anniversary. The staff Ms Jusanna, was very helpful during our check-in when we asked for a west facing room with good view. Although the hotel has allocated us a room, she made effort to search for a better room without showing any signs of frustration. She served with her heart, very genuine. Her supervisor ( Don't know her name) was guiding patiently and also helped to search.  Everything about the hotel is up to our expectations, we enjoyed our stay!",5
"We stayed at this hotel for two nights over the New Year’s Eve celebration. First I must note that we loved how modern the hotel is. The disco lights in the lifts, the decor and most importantly the toilets in the room! Once you experience those toilets - there’s no going back. You would know what I mean once you stay there :)   We stayed in a lounge access room and it felt very spacious with modern finishes. Although the carpet on the floor looked a bit worn with strings hanging out of it. Not a great look! We had a semi ok view facing the suntec city shopping centre and a bit of the Marina. I was a bit disappointed by that as I thought paying $800 a night would have had better views. But whatever... Wasn’t going to let it spoil our stay.  Staff are very friendly. I can’t name",4
"My family and I stayed here on vacation for 8 nights. We extended our stay because the hotel is so amazing. I am Titanium Lifetime so I am familiar with Marriott's properties and this JW is the one of my top stays. The building is new. Rooms are spacious and have large windows. the executive lounge is over the top great and location at South Beach next to Raffles Hotel is fantastic. Lots of great restaurants and bars to choose. But the real stars at the JW are the staff....Up in the exec lounge Eva, Esther, Srankvi, Yosuf  and Andrea were incredibly helpful and friendly!! Matin at the front desk gave us a great art tour of south beach and Nicola at Cool Cats jazz bar was also great. If you like Marriott at it's best this is for you when in Singapore.",5
Most travellers to singapore prefer the marina bay sands for the hype but if you want true hospitality jw marriott south beach can offer in abundance! From early check in to a greaf breakfast to even helping out on getting back something i lost in a taxi. Thats the extent of effort they put! Breakfast is very global covering cuisines from around the world and the place is beaming with happy vibes! The place to stay if you plan on travelling to singapore. It is value for money!,5
"There really is nothing bad to say about this hotel. First the service really is excellent, which is something that hotels often make empty promises about, but the JW Marriott really delivers. Very professional without being obsequious. The rooms are clean and fresh looking, with bidet toilets. I really like the couches along the windows as well. The suites have in-room Nespresso while the regular ones only have instant coffee, which is a bit disappointing. I would definitely opt for a club room, as the lounge has an elaborate food spread for breakfast, and wine, cocktails, and pretty good food in the evenings. The food is from the same kitchen as Beach Road Kitchen restaurant below it. The infinity pool and bar on the 18th floor overlooking the bay is also an excellent place to",5
"My husband, son and I recently stayed here for 4 nights. We stayed in an oversized room with a sitting area. They call this a “family room”.  The sofa converted to a sofa bed which was more comfortable than the usual sofa bed because they bring an actual mattress in to make the bed. My son slept very well. The room and the rest of hotel is decorated in a modern luxurious style. The hotel is in a great location to walk to many places. And the service was consistently professional, warm and welcoming. We were greeted by name at the executive lounge. Everyone was lovely and Hazel took good care of us.",5
"Stayed one night so my stay was short. Check in was good. Met at the taxi and escorted to the lounge for check in. Soon after was in my room. Not very large for sure but adequate. Pool on the 18th floor was nice, good view of downtown. The gym is also up here fairly large for a good workout. The spa was very nice. I went down to hit the steam and sauna. If you have time good place to relax.   The hotel sits atop an area of shops, restaurants and pubs. It's extremely convenient to get out of the hotel for a bite to eat or cocktail. The MRT Esplanade is also underneath the hotel so easy to get around. The Executive lounge is across a walkway. Not the best not the worst. I have seen better. The food was average I thought. Overall the hotel has the vibe of a W and not a JW. Not that",5
"This review is long overdue.  I joined my husband on his business trip to Singapore- my first time visiting, his second.  The hotel was clean, with a very modern feel.  The staff were amazing.  From Hai Yang in housekeeping to Hazel and Melvin in the Executive Lounge- every staff member we interacted with was friendly and helpful.  Hai Yang went above and beyond when cleaning our room, Hazel had great suggestions for places to visit, and Melvin made wonderful drinks.  I loved the location- being across from SunTec made it very easy to catch the MRT, a bus, or call a Grab to go out and see the city.  It was also great to have such a wide variety of shopping options so close so we could pick up anything we forgot (and some kaya from Ya-Kun for friends and family back home).",5
"Having stayed at many J.W.s, this one is fine. More modern and a bit sterile but very clean.  What made our stay special were the staff in the lounge, especially Eva and Hazel.  Both greeted us by name, made sure we were comfortable, and had much good advice about sightseeing in the city.",4
"Designed by Philippe Starck, the hotel has a very modern feel. Room was ok (I feel it’s smaller compared to other JWM) and some of the furnishing looked worn already.  If you get a room on the high floor, the view is splendid. Infinity pool on the 18th floor is a bit small and if you have few families, the pool seem very crowded. However the view is good. Breakfast spread is good and the lounge’s food selection is excellent. ",5
Room is clean. Breakfast is good. Comfortable bed and room. We had a good time staying in this hotel.keep it up. Would like to try the suite in future. Recommended hotel. Price could be higher but as long as the quality is good.,4
"This hotel is one of the newest in this location, so it was immaculate and modern. Only downside were the pillows. They were too soft or too hard. Strange why they got those type of pillows for such a luxury hotel.   I got the room with the Marina Bay View which I highly recommend. Just top up slightly in the rates to get a fantastic day and night view of the city. We were very fortunate that there was fireworks during that night and for a full view of the spectacle from the comfort of our room!   There is a pool on the 18th level. This was quite underwhelming as it was short in length and only 1.2m deep. But it does provide a breathtaking open view of the city. Good for Instagrammable photos of cos.   The location of the hotel is very good. It’s well linked to other shopping",4
"We stayed for 3 days prior to a cruise. The service was great and the views from the pool area on the 18th floor were awesome. Hazel, in the executive lounge was absolutely fantastic. She made our breakfast visits exceptional. She always had a smile on her face and set up a place for the six of us every morning.",5
